TABLE_SET_NAME,TABLE1,SCHEMA1,TABLE2,SCHEMA2,JOIN_COUNT,JOIN_EXECUTIONS,STATIC_COEFFICIENT,DYNAMIC_COEFFICIENT,TOTAL_AFFINITY
Cerner,PRSNL,V500,CE_EVENT_ACTION,V500,2,28,0.00772,0.00041,0.00407
Cerner,IM_STUDY,V500,ORDER_CATALOG,V500,1,4,0.00637,0.00176,0.00407
Cerner,ORDER_CATALOG,V500,IM_STUDY,V500,1,4,0.00637,0.00176,0.00407
Cerner,PRSNL,V500,EXPEDITE_COPY,V500,2,8,0.00803,0.00012,0.00408
Cerner,ORDER_CATALOG,V500,IM_STUDY_PARENT_R,V500,1,4,0.00645,0.00176,0.00411
Cerner,IM_STUDY_PARENT_R,V500,ORDER_CATALOG,V500,1,4,0.00645,0.00176,0.00411
Cerner,PRSNL,V500,PERSON_COMBINE_DET,V500,1,291,0.00403,0.00425,0.00414
Cerner,PRSNL,V500,PAT_ED_SHORTCUT,V500,2,16,0.00806,0.00023,0.00415
Cerner,PAT_ED_SHORTCUT,V500,PRSNL,V500,2,16,0.00806,0.00023,0.00415
Cerner,PRSNL,V500,PAT_ED_FAVORITES,V500,2,16,0.0081,0.00023,0.00417
Cerner,PAT_ED_FAVORITES,V500,PRSNL,V500,2,16,0.0081,0.00023,0.00417
Cerner,ORDER_INGREDIENT,V500,ENCOUNTER,V500,3,99,0.00645,0.00197,0.00421
Cerner,PERSON,V500,PCT_CARE_TEAM,V500,2,107,0.00692,0.00166,0.00429
Cerner,ORDER_CATALOG,V500,RAD_REPORT_DETAIL,V500,1,4,0.0069,0.00178,0.00434
Cerner,ORDER_CATALOG,V500,SIGN_LINE_DTA_R,V500,1,4,0.00714,0.00176,0.00445
Cerner,SIGN_LINE_DTA_R,V500,ORDER_CATALOG,V500,1,4,0.00714,0.00176,0.00445
Cerner,ORDER_CATALOG,V500,MED_IDENTIFIER,V500,1,8,0.00625,0.00269,0.00447
Cerner,MED_IDENTIFIER,V500,ORDER_CATALOG,V500,1,8,0.00625,0.00269,0.00447
Cerner,ORDER_CATALOG,V500,RAD_PRIOR_PREFS,V500,1,4,0.00725,0.0018,0.00453
Cerner,RAD_PRIOR_PREFS,V500,ORDER_CATALOG,V500,1,4,0.00725,0.0018,0.00453
Cerner,PERSON,V500,RAD_REPORT,V500,3,36,0.00906,0.00055,0.00481
Cerner,PRSNL,V500,ACCESSION_ORDER_R,V500,2,177,0.00738,0.00255,0.00497
Cerner,PERSON,V500,V500_EVENT_SET_EXPLODE,V500,3,36,0.00946,0.00051,0.00499
