TABLE_SET_NAME,SCHEMA,TABLE_NAME,TOTAL_SQL,TOTAL_EXECUTIONS,TABLES_JOINED
DBUSER,DBUSER,STUDENTS,8,602,0
DBUSER,DBUSER,TRANSCRIPTS,3,201,0
DBUSER,DBUSER,ADDRESSES,2,101,0
DBUSER,DBUSER,STUDENTFINANCES,3,201,0
DBUSER,DBUSER,STAFF,3,201,0
DBUSER,DBUSER,EMPLOYEEBENEFITS,3,201,0
DBUSER,DBUSER,STUDENTMAJORS,3,201,0
DBUSER,DBUSER,MAJORS,3,201,0
DBUSER,DBUSER,DEPARTMENTS,3,201,0
DBUSER,DBUSER,COLLEGES,3,201,0
DBUSER,DBUSER,COURSES,4,301,0
DBUSER,DBUSER,FACULTYCOURSES,2,101,0
DBUSER,DBUSER,COMMITTEEMEMBERS,2,101,0
DBUSER,DBUSER,FACULTY,6,501,0
DBUSER,DBUSER,ROLES,3,201,0
DBUSER,DBUSER,PUBLICATIONS,2,101,0
DBUSER,DBUSER,FACULTYCREDENTIALS,2,101,0
DBUSER,DBUSER,COMMITTEES,2,101,0
DBUSER,DBUSER,STUDENTCOURSES,1,100,0
