index,descriptors,relative_frequency
"Syrah, Hawkes Bay, New Zealand",pepper,0.23
"Grenache, Columbia Valley, Washington, USA",fruit,0.12
"Syrah, Santa Barbara, Central Coast, California, USA",blackberry,0.23
"Cabernet Sauvignon, Galilee, Israel",cherry,0.14
"Chardonnay, Monterey, Central Coast, California, USA",ripe,0.13
"Riesling, Nahe, Germany",ripe,0.12
"Petite Sirah, Sonoma Valley, North Coast, California, USA",blackberry,0.35
"Chardonnay, Santa Barbara, Central Coast, California, USA",ripe,0.14
"Sauvignon Blanc, Columbia Valley, Washington, USA",fruit,0.13
"Sauvignon Blanc, Sierra Foothills, California, USA",citrus,0.19
"Petite Sirah, San Francisco Bay, Central Coast, California, USA",plum,0.17
"Bordeaux-style Red Blend, Finger Lakes, New York, USA",cherry,0.31
"Sauvignon Blanc, Steiermark, Austria",tropical_fruit,0.15
"Pinot Noir, Canterbury and Waipara, New Zealand",spice,0.20
"Pinot Noir, Central Otago, New Zealand",cherry,0.19
"Sauvignon Blanc, Nelson, New Zealand",fruit,0.08
"Sauvignon Blanc, Casablanca Valley, Aconcagua Region, Chile",citrus,0.10
"Cabernet Franc, Finger Lakes, New York, USA",ripe,0.16
"Cabernet Sauvignon, Curico Valley, Central Valley, Chile",earth,0.10
"Merlot, Coastal Region, South Africa",plum,0.20
"Riesling, Columbia Valley, Washington, USA",fruit,0.16
"Chardonnay, Napa Valley, North Coast, California, USA",oak,0.19
"Bordeaux-style Red Blend, Napa Valley, North Coast, California, USA",blackberry,0.23
"Sauvignon Blanc, Long Island, New York, USA",grass,0.21
"Sauvignon Blanc, Limari Valley, Coquimbo Region, Chile",minerality,0.16
"Syrah, Coastal Region, South Africa",spice,0.10
"Cabernet Sauvignon, Santa Barbara, Central Coast, California, USA",ripe,0.24
"Cabernet Franc, San Francisco Bay, Central Coast, California, USA",cherry,0.15
"Chardonnay, Coastal Region, South Africa",fruit,0.12
"Bordeaux-style Red Blend, Hawkes Bay, New Zealand",cassis,0.13
"Merlot, Colchagua Valley, Central Valley, Chile",ripe,0.10
"Petite Sirah, Sierra Foothills, California, USA",fruit,0.21
"Riesling, Marlborough, New Zealand",apple,0.23
"Merlot, Monterey, Central Coast, California, USA",cherry,0.25
"Pinot Noir, Napa-Sonoma, North Coast, California, USA",cherry,0.34
"Merlot, Finger Lakes, New York, USA",cherry,0.14
"Pinot Grigio, Marlborough, New Zealand",spice,0.11
"Syrah, Colchagua Valley, Central Valley, Chile",berry,0.10
"Pinot Grigio, Sonoma Valley, North Coast, California, USA",citrus,0.19
"Merlot, Maule Valley, Central Valley, Chile",earth,0.14
"Chardonnay, Hawkes Bay, New Zealand",toast,0.29
"Bordeaux-style Red Blend, Paso Robles, Central Coast, California, USA",blackberry,0.22
"Chardonnay, Colchagua Valley, Central Valley, Chile",toast,0.16
