TABLE_SET_NAME,TABLE1,TABLE2,JOIN_COUNT,JOIN_EXECUTIONS,STATIC_COEFFICIENT,DYNAMIC_COEFFICIENT,TOTAL_AFFINITY,TOTAL_AFFINITY_MODIFIED,TABLE_MAP_ID
MedicalRecord,RAD_EXAM,PROC_CLASSIFICATION,2,13,0.04651,0.02421,0.03536,0.01,1
MedicalRecord,RAD_EXAM,PROFILE_TASK_R,3,12,0.04225,0.01081,0.02653,0.01,2
MedicalRecord,RAD_EXAM,PULL_LIST,1,80,0.02326,0.11713,0.0702,0.01,3
MedicalRecord,RAD_EXAM,PULL_ORD_SCHED,1,80,0.02273,0.09512,0.05893,0.01,4
MedicalRecord,RAD_EXAM,RAD_EXAM_PRSNL,4,20,0.09091,0.03591,0.06341,0.01,5
MedicalRecord,RAD_EXAM,RAD_INIT_READ,4,33,0.09756,0.06286,0.08021,0.01,6
MedicalRecord,RAD_EXAM,RAD_PACKET,2,80,0.04762,0.13223,0.08993,0.01,7
MedicalRecord,RAD_EXAM,RAD_PACKET_COMPONENT,2,80,0.04878,0.13889,0.09384,0.01,8
MedicalRecord,RAD_EXAM,RAD_REPORT,3,12,0.03659,0.01098,0.02379,0.01,9
MedicalRecord,RAD_EXAM,RAD_REPORT_PRSNL,2,8,0.02941,0.01198,0.0207,0.01,10
MedicalRecord,RAD_EXAM,RAD_RPT_LOCK,3,25,0.06122,0.04274,0.05198,0.01,11
MedicalRecord,RAD_EXAM,RESOURCE_GROUP,2,83,0.03125,0.06125,0.04625,0.01,12
MedicalRecord,IM_STUDY_PARENT_R,IM_ACQUIRED_STUDY,3,18,0.15,0.31579,0.2329,0.01,13
MedicalRecord,IM_STUDY_PARENT_R,IM_STUDY,5,30,0.15152,0.44776,0.29964,0.01,14
MedicalRecord,IM_STUDY_PARENT_R,ORDER_CATALOG,1,4,0.00645,0.00176,0.00411,0.01,15
MedicalRecord,IM_STUDY_PARENT_R,ORDER_RADIOLOGY,2,8,0.01587,0.00427,0.01007,0.01,16
MedicalRecord,IM_STUDY_PARENT_R,PERSON,1,4,0.00327,0.00006,0.00167,0.01,17
MedicalRecord,STICKY_NOTE,LONG_TEXT,1,8,0.00559,0.00115,0.00337,0.01,18
MedicalRecord,STICKY_NOTE,ORDER_RADIOLOGY,1,8,0.00877,0.00297,0.00587,0.01,19
MedicalRecord,STICKY_NOTE,PRSNL,1,8,0.00398,0.00012,0.00205,0.01,20
MedicalRecord,STICKY_NOTE,RAD_REPORT,1,8,0.02041,0.00555,0.01298,0.01,21
MedicalRecord,STICKY_NOTE,RAD_REPORT_PRSNL,1,8,0.02941,0.0079,0.01866,0.01,22
MedicalRecord,ESO_TRIGGER,CODE_VALUE,4,28,0.00802,0.00041,0.00422,0.01,23
MedicalRecord,LOCATION,BE_ORG_RELTN,10,961,0.18182,0.20882,0.19532,0.01,24
MedicalRecord,LOCATION,BILLING_ENTITY,9,922,0.15,0.17896,0.16448,0.01,25
MedicalRecord,LOCATION,ENCOUNTER,8,527,0.01918,0.00987,0.01453,0.01,26
MedicalRecord,LOCATION,INTERFACE_FILE,1,78,0.01563,0.01563,0.01563,0.01,27
MedicalRecord,LOCATION,ORGANIZATION,6,31,0.05405,0.00413,0.02909,0.01,28
MedicalRecord,LOCATION,SCH_APPT_LOC,3,61,0.05172,0.01309,0.03241,0.01,29
MedicalRecord,LOCATION,SCH_APPT_TYPE,1,55,0.01639,0.01169,0.01404,0.01,30
MedicalRecord,LOCATION,CODE_VALUE,3,267,0.00548,0.00365,0.00457,0.01,31
MedicalRecord,LOCATION,ENCNTR_ALIAS,1,144,0.00671,0.01358,0.01015,0.01,32
MedicalRecord,LOCATION,ORDER_RADIOLOGY,2,8,0.01227,0.00124,0.00676,0.01,33
MedicalRecord,LOCATION,ORG_ALIAS_POOL_RELTN,6,304,0.08571,0.04871,0.06721,0.01,34
MedicalRecord,LOCATION,PERSON_ALIAS,5,160,0.03448,0.00526,0.01987,0.01,35
MedicalRecord,LOCATION,PRSNL_ORG_RELTN,1,8,0.01099,0.00077,0.00588,0.01,36
MedicalRecord,LOCATION,SCH_EVENT_DISP,1,115,0.01351,0.02172,0.01762,0.01,37
MedicalRecord,LOCATION,SCH_LOCATION,3,63,0.04762,0.0134,0.03051,0.01,38
MedicalRecord,LOCATION,OUTCOME_CAT_LOC_RELTN,1,6,0.01538,0.00125,0.00832,0.01,39
MedicalRecord,LOCATION,LOC_RESOURCE_R,1,4,0.01754,0.00085,0.0092,0.01,40
MedicalRecord,LOCATION,LONG_TEXT,2,23,0.00877,0.00215,0.00546,0.01,41
MedicalRecord,LOCATION,SCH_ACTION_ROLE,1,3,0.01818,0.00065,0.00942,0.01,42
MedicalRecord,LOCATION,SCH_WARNING,2,23,0.03636,0.005,0.02068,0.01,43
MedicalRecord,LOCATION,CHARGE,2,117,0.02597,0.02083,0.0234,0.01,44
MedicalRecord,LOCATION,PFT_ENCNTR,3,400,0.03488,0.04171,0.0383,0.01,45
MedicalRecord,LOCATION,SCH_ACTION_LOC,2,6,0.03509,0.0013,0.0182,0.01,46
MedicalRecord,LOCATION,SCH_CODE_GROUP,2,6,0.03448,0.00126,0.01787,0.01,47
MedicalRecord,LOCATION,SCH_EVENT_PATIENT,1,115,0.01124,0.01985,0.01555,0.01,48
MedicalRecord,LOCATION,LOCATION_GROUP,2,22,0.02128,0.00255,0.01192,0.01,49
MedicalRecord,LOCATION,TRACK_GROUP,1,4,0.01563,0.00083,0.00823,0.01,50
MedicalRecord,LOCATION,RAD_CONFIG_DATA,3,18,0.05085,0.00389,0.02737,0.01,51
MedicalRecord,LOCATION,BED,1,9,0.01613,0.00193,0.00903,0.01,52
MedicalRecord,LOCATION,CHARGE_EVENT,1,78,0.01205,0.01019,0.01112,0.01,53
MedicalRecord,LOCATION,SERVICE_RESOURCE,1,8,0.01266,0.00158,0.00712,0.01,54
MedicalRecord,PFT_HOLD,ACCOUNT,2,620,0.11111,0.24458,0.17785,0.01,55
MedicalRecord,PFT_HOLD,ENCOUNTER,2,620,0.00535,0.0125,0.00893,0.01,56
MedicalRecord,PFT_HOLD,PFT_ENCNTR,2,620,0.05263,0.10973,0.08118,0.01,57
MedicalRecord,PFT_HOLD,PFT_HOLD_CRITERIA,3,649,0.33333,0.37493,0.35413,0.01,58
MedicalRecord,PRSNL_ORG_RELTN,CLINICAL_SERVICE_RELTN,2,62,0.05128,0.01071,0.031,0.01,59
MedicalRecord,PRSNL_ORG_RELTN,CODE_VALUE_EXTENSION,2,1711,0.00707,0.05719,0.03213,0.01,60
MedicalRecord,PRSNL_ORG_RELTN,ENCNTR_PRSNL_RELTN,2,1711,0.02041,0.16988,0.09515,0.01,61
MedicalRecord,PRSNL_ORG_RELTN,ENCOUNTER,2,1711,0.00494,0.03207,0.01851,0.01,62
MedicalRecord,PRSNL_ORG_RELTN,LOCATION,1,8,0.01099,0.00077,0.00588,0.01,63
MedicalRecord,PRSNL_ORG_RELTN,ORGANIZATION,2,69,0.02062,0.00802,0.01432,0.01,64
MedicalRecord,PRSNL_ORG_RELTN,ORG_ALIAS_POOL_RELTN,1,4,0.01754,0.00052,0.00903,0.01,65
MedicalRecord,PRSNL_ORG_RELTN,PERSON_PRSNL_RELTN,2,1711,0.02778,0.2159,0.12184,0.01,66
MedicalRecord,PRSNL_ORG_RELTN,PRSNL,3,15,0.01068,0.0002,0.00544,0.01,67
MedicalRecord,SCD_STORY,CLINICAL_EVENT,3,11,0.01333,0.00031,0.00682,0.01,68
MedicalRecord,SCD_STORY,LONG_BLOB,1,6,0.025,0.0041,0.01455,0.01,69
MedicalRecord,SCD_STORY,PRSNL,1,12,0.00376,0.00018,0.00197,0.01,70
MedicalRecord,SCD_STORY,SCD_BLOB,1,6,0.04545,0.03,0.03773,0.01,71
MedicalRecord,SCD_STORY,SCD_STORY_PATTERN,2,8,0.08696,0.06723,0.0771,0.01,72
MedicalRecord,SCD_STORY,SCD_TERM_DATA,4,30,0.16,0.21898,0.18949,0.01,73
MedicalRecord,SCD_STORY,SCR_PATTERN,2,8,0.08333,0.06557,0.07445,0.01,74
MedicalRecord,SCH_LOCATION,LOCATION,3,63,0.04762,0.0134,0.03051,0.01,75
MedicalRecord,SCH_LOCATION,LONG_TEXT,1,21,0.00541,0.00336,0.00439,0.01,76
MedicalRecord,SCH_LOCATION,ORG_ALIAS_POOL_RELTN,1,27,0.03226,0.01299,0.02263,0.01,77
MedicalRecord,SCH_LOCATION,PERSON_ALIAS,1,27,0.00952,0.00103,0.00528,0.01,78
MedicalRecord,SCH_LOCATION,PRSNL,1,4,0.00389,0.00006,0.00198,0.01,79
MedicalRecord,SCH_LOCATION,SCH_APPT,2,7,0.03125,0.00366,0.01746,0.01,80
MedicalRecord,SCH_LOCATION,SCH_EVENT,1,4,0.0137,0.00255,0.00813,0.01,81
MedicalRecord,SCH_LOCATION,SCH_EVENT_ACTION,1,4,0.01429,0.00216,0.00823,0.01,82
MedicalRecord,SCH_LOCATION,SCH_SCHEDULE,2,50,0.08696,0.06378,0.07537,0.01,83
MedicalRecord,SCH_LOCATION,SCH_WARNING,1,21,0.08333,0.12727,0.1053,0.01,84
MedicalRecord,ORDER_CATALOG_ITEM_R,ALT_SEL_CAT,1,144,0.05,0.1295,0.08975,0.01,85
MedicalRecord,ORDER_CATALOG_ITEM_R,ALT_SEL_LIST,1,144,0.05882,0.12903,0.09393,0.01,86
