TABLE_ID,TABLE_SET_NAME,SCHEMA,TABLE_NAME,TOTAL_SQL,TOTAL_EXECUTIONS,TABLES_JOINED
297,MedicalRecord,V500,ACCESSION,9,847,5
273,MedicalRecord,V500,ACCESSION_ORDER_R,26,1462,13
819,MedicalRecord,V500,ACTIVITY_DATA_RELTN,38,622,2
663,MedicalRecord,V500,ACT_PW_COMP,18,370,15
796,MedicalRecord,V500,ALLERGY,43,1738,6
805,MedicalRecord,V500,ALLERGY_COMMENT,12,306,4
539,MedicalRecord,V500,ALT_SEL_CAT,12,599,15
144,MedicalRecord,V500,ALT_SEL_LIST,9,603,14
40,MedicalRecord,V500,BILL_ITEM,17,1986,7
79,MedicalRecord,V500,BILL_ITEM_MODIFIER,9,859,7
206,MedicalRecord,V500,BILL_ONLY_PROC_RELTN,1,12,2
149,MedicalRecord,V500,BLOB_REFERENCE,44,332,9
12,MedicalRecord,V500,CE_EVENT_ACTION,14,498,7
669,MedicalRecord,V500,CE_EVENT_PRSNL,17,1069,13
29,MedicalRecord,V500,CE_MED_RESULT,5,263,4
524,MedicalRecord,V500,CHARGE_EVENT,29,3128,23
707,MedicalRecord,V500,CHARGE_EVENT_ACT,11,2153,5
452,MedicalRecord,V500,CHARGE_EVENT_ACT_PRSNL,4,878,4
541,MedicalRecord,V500,CLINICAL_EVENT,208,34977,38
736,MedicalRecord,V500,CLINICAL_SERVICE_RELTN,4,121,3
398,MedicalRecord,V500,CMT_CONCEPT,3,8,2
962,MedicalRecord,V500,CMT_CONCEPT_EXTENSION,1,3,2
168,MedicalRecord,V500,CODE_CDF_EXT,5,72,2
501,MedicalRecord,V500,CODE_SET_EXTENSION,3,208,2
906,MedicalRecord,V500,CODE_VALUE,495,68894,72
608,MedicalRecord,V500,CODE_VALUE_ALIAS,7,1846,4
607,MedicalRecord,V500,CODE_VALUE_EVENT_R,16,397,11
903,MedicalRecord,V500,CODE_VALUE_EXTENSION,248,25898,23
561,MedicalRecord,V500,CODE_VALUE_GROUP,30,1831,10
642,MedicalRecord,V500,CODE_VALUE_SET,2,805,2
450,MedicalRecord,V500,COLLECTION_PRIORITY,9,2120,9
700,MedicalRecord,V500,CONTAINER,13,818,9
199,MedicalRecord,V500,CREDENTIAL,10,1401,2
271,MedicalRecord,V500,CS_COMPONENT,23,234,4
745,MedicalRecord,V500,DCP_CARE_TEAM_PRSNL,2,6,3
303,MedicalRecord,V500,DCP_ENTITY_RELTN,10,748,7
372,MedicalRecord,V500,DCP_FORMS_ACTIVITY,13,535,6
36,MedicalRecord,V500,DCP_FORMS_ACTIVITY_COMP,14,812,13
411,MedicalRecord,V500,DCP_FORMS_ACTIVITY_PRSNL,5,443,6
519,MedicalRecord,V500,DCP_SHIFT_ASSIGNMENT,2,6,3
232,MedicalRecord,V500,DEPT_ORD_STAT_SECURITY,1,1,3
158,MedicalRecord,V500,DEVICE,17,1485,10
401,MedicalRecord,V500,DEVICE_XREF,3,48,7
661,MedicalRecord,V500,DIAGNOSIS,23,1581,13
368,MedicalRecord,V500,DISCRETE_TASK_ASSAY,49,1611,24
697,MedicalRecord,V500,DISPENSE_CATEGORY,5,147,10
721,MedicalRecord,V500,DOSE_CALCULATOR_UOM,3,24,2
653,MedicalRecord,V500,DRC_PREMISE,1,10,5
910,MedicalRecord,V500,ECO_QUEUE,5,35,3
10,MedicalRecord,V500,ENCNTR_ALIAS,95,6146,32
548,MedicalRecord,V500,ENCNTR_INFO,10,24,3
809,MedicalRecord,V500,ENCNTR_LOC_HIST,29,1422,5
788,MedicalRecord,V500,ENCNTR_PRSNL_RELTN,63,6053,17
904,MedicalRecord,V500,ENCOUNTER,370,49340,102
290,MedicalRecord,V500,ESI_LOG,20,20,13
19,MedicalRecord,V500,ESO_TRIGGER,8,143,2
830,MedicalRecord,V500,EXAM_DATA,9,521,11
631,MedicalRecord,V500,EXPEDITE_COPY,4,16,4
220,MedicalRecord,V500,FILL_CYCLE_BATCH,2,15,2
68,MedicalRecord,V500,FILL_PRINT_ORD_HX,5,63,8
459,MedicalRecord,V500,FILM_EXAM,2,252,3
225,MedicalRecord,V500,FILM_USAGE,1,12,2
536,MedicalRecord,V500,HM_EXPECT_MOD,1,524,4
534,MedicalRecord,V500,HM_EXPECT_MOD_HIST,2,527,4
933,MedicalRecord,V500,ICLASS_PERSON_RELTN,6,268,7
